------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:59PM on December 28, 2018
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.97324441059e+24 34216026218.0 26623910437.0 9.81863493384
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.20875185901 6.15234155125 1.88993805916 -0.252810390866 -2.6824947171 8.04177729086
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
    236   -3.6373305651    0.9073060994   -1.5108245732   -6.1826826151    1.8888668287   -2.6484193896
    237   -3.6421809949    0.9075361605   -1.5120296901   -6.1827926120    1.8888713487   -2.6485631673
    238   -3.6470298075    0.9077720718   -1.5132419891   -6.1829016844    1.8888758306   -2.6487057369
    239   -3.6518769610    0.9080138572   -1.5144614093   -6.1830098442    1.8888802751   -2.6488471134
    240   -3.6567224017    0.9082615595   -1.5156878601   -6.1831171025    1.8888846825   -2.6489873117
    241   -3.6615661059    0.9085151870   -1.5169212931   -6.1832234708    1.8888890534   -2.6491263466
    242   -3.6664080730    0.9087747548   -1.5181616726   -6.1833289600    1.8888933881   -2.6492642324
    243   -3.6712482538    0.9090402947   -1.5194089294   -6.1834335810    1.8888976872   -2.6494009834
    244   -3.6760866292    0.9093118193   -1.5206630145   -6.1835373445    1.8889019510   -2.6495366134
    245   -3.6809231600    0.9095893498   -1.5219238606   -6.1836402608    1.8889061800   -2.6496711363
    246   -3.6857578413    0.9098728980   -1.5231914268   -6.1837423405    1.8889103746   -2.6498045655
    247   -3.6905905961    0.9101624887   -1.5244656355   -6.1838435936    1.8889145353   -2.6499369143
    248   -3.6954214401    0.9104581283   -1.5257464456   -6.1839440302    1.8889186624   -2.6500681958
    249   -3.7002503317    0.9107598364   -1.5270338058   -6.1840436600    1.8889227564   -2.6501984228
    250   -3.7050772481    0.9110676269   -1.5283276595   -6.1841424928    1.8889268176   -2.6503276079
    251   -3.7099021658    0.9113815135   -1.5296279551   -6.1842405381    1.8889308464   -2.6504557637
    252   -3.7147250221    0.9117015043   -1.5309346127   -6.1843378052    1.8889348433   -2.6505829025
    253   -3.7195458237    0.9120276088   -1.5322476064   -6.1844343035    1.8889388086   -2.6507090361
    254   -3.7243645374    0.9123598472   -1.5335668724   -6.1845300419    1.8889427427   -2.6508341766
    255   -3.7291811219    0.9126982206   -1.5348923502   -6.1846250294    1.8889466459   -2.6509583356
    256   -3.7339955569    0.9130427445   -1.5362239918   -6.1847192748    1.8889505186   -2.6510815246
    257   -3.7388078164    0.9133934204   -1.5375617428   -6.1848127868    1.8889543611   -2.6512037549
    258   -3.7436178349    0.9137502576   -1.5389055254   -6.1849055739    1.8889581739   -2.6513250377
    259   -3.7484256686    0.9141132616   -1.5402553392   -6.1849976445    1.8889619573   -2.6514453839
    260   -3.7532312074    0.9144824386   -1.5416110800   -6.1850890069    1.8889657115   -2.6515648044
    261   -3.7580344535    0.9148577945   -1.5429727141   -6.1851796692    1.8889694370   -2.6516833099
    262   -3.7628353909    0.9152393338   -1.5443401932   -6.1852696393    1.8889731340   -2.6518009106
    263   -3.7676339446    0.9156270635   -1.5457134359   -6.1853589254    1.8889768029   -2.6519176171
    264   -3.7724301176    0.9160209827   -1.5470924082   -6.1854475350    1.8889804440   -2.6520334395
    265   -3.7772239317    0.9164210960   -1.5484770951   -6.1855354758    1.8889840577   -2.6521483877
    266   -3.7820152645    0.9168273974   -1.5498673759   -6.1856227554    1.8889876442   -2.6522624716
    267   -3.7868041582    0.9172399022   -1.5512632461   -6.1857093813    1.8889912038   -2.6523757010
    268   -3.7915905507    0.9176585999   -1.5526646315   -6.1857953607    1.8889947368   -2.6524880854
    269   -3.7963744147    0.9180834903   -1.5540714829   -6.1858807008    1.8889982436   -2.6525996342
    270   -3.8011557406    0.9185145799   -1.5554837555   -6.1859654088    1.8890017244   -2.6527103568
    271   -3.8059344636    0.9189518623   -1.5569013802   -6.1860494917    1.8890051795   -2.6528202621
    272   -3.8107105855    0.9193953349   -1.5583243194   -6.1861329562    1.8890086092   -2.6529293594
    273   -3.8154841083    0.9198449972   -1.5597525352   -6.1862158094    1.8890120138   -2.6530376574
    274   -3.8202549218    0.9203008412   -1.5611859266   -6.1862980577    1.8890153935   -2.6531451649
    275   -3.8250230724    0.9207628728   -1.5626245081   -6.1863797079    1.8890187486   -2.6532518906
    276   -3.8297884967    0.9212310783   -1.5640681840   -6.1864607664    1.8890220795   -2.6533578429
    277   -3.8345511760    0.9217054620   -1.5655169197   -6.1865412397    1.8890253863   -2.6534630301
    278   -3.8393110822    0.9221860042   -1.5669706648   -6.1866211340    1.8890286693   -2.6535674607
    279   -3.8440681685    0.9226727085   -1.5684293491   -6.1867004556    1.8890319287   -2.6536711426
    280   -3.8488224520    0.9231655710   -1.5698929593   -6.1867792106    1.8890351649   -2.6537740839
    281   -3.8535738589    0.9236645827   -1.5713614077   -6.1868574051    1.8890383781   -2.6538762926
    282   -3.8583223724    0.9241697242   -1.5728346621   -6.1869350450    1.8890415684   -2.6539777763
    283   -3.8630679834    0.9246810044   -1.5743126754   -6.1870121362    1.8890447362   -2.6540785429
    284   -3.8678106551    0.9251984098   -1.5757953952   -6.1870886845    1.8890478817   -2.6541785999
    285   -3.8725503527    0.9257219249   -1.5772827699   -6.1871646957    1.8890510052   -2.6542779547
    286   -3.8772870602    0.9262515487   -1.5787747541   -6.1872401753    1.8890541067   -2.6543766147
    287   -3.8820207256    0.9267872592   -1.5802712893   -6.1873151289    1.8890571867   -2.6544745872
    288   -3.8867513453    0.9273290524   -1.5817723354   -6.1873895620    1.8890602453   -2.6545718793
    289   -3.8914788915    0.9278769222   -1.5832778409   -6.1874634799    1.8890632827   -2.6546684981
    290   -3.8962033345    0.9284308555   -1.5847877664   -6.1875368881    1.8890662992   -2.6547644506
    291   -3.9009246449    0.9289908377   -1.5863020563   -6.1876097918    1.8890692949   -2.6548597436
    292   -3.9056427993    0.9295568546   -1.5878206672   -6.1876821962    1.8890722702   -2.6549543839
    293   -3.9103577519    0.9301289015   -1.5893435344   -6.1877541063    1.8890752251   -2.6550483782
    294   -3.9150694972    0.9307069587   -1.5908706293   -6.1878255272    1.8890781599   -2.6551417331
    295   -3.9197780078    0.9312910145   -1.5924019014   -6.1878964639    1.8890810748   -2.6552344551
    296   -3.9244832455    0.9318810535   -1.5939372982   -6.1879669213    1.8890839700   -2.6553265506
    297   -3.9291851877    0.9324770598   -1.5954767730   -6.1880369043    1.8890868457   -2.6554180259
    298   -3.9338838176    0.9330790261   -1.5970202845   -6.1881064176    1.8890897021   -2.6555088873
    299   -3.9385790956    0.9336869334   -1.5985677861   -6.1881754659    1.8890925395   -2.6555991409
    300   -3.9432710021    0.9343007642   -1.6001192294   -6.1882440538    1.8890953579   -2.6556887928
    301   -3.9479594961    0.9349205028   -1.6016745573   -6.1883121861    1.8890981575   -2.6557778490
    302   -3.9526445755    0.9355461387   -1.6032337402   -6.1883798671    1.8891009387   -2.6558663155
    303   -3.9573261872    0.9361776466   -1.6047967173   -6.1884471014    1.8891037014   -2.6559541980
    304   -3.9620043752    0.9368150179   -1.6063634888   -6.1885138934    1.8891064460   -2.6560415023
    305   -3.9666790028    0.9374582359   -1.6079339410   -6.1885802474    1.8891091726   -2.6561282342
    306   -3.9713501193    0.9381072707   -1.6095080722   -6.1886461677    1.8891118814   -2.6562143992
    307   -3.9760176421    0.9387621158   -1.6110857896   -6.1887116585    1.8891145725   -2.6563000028
    308   -3.9806816428    0.9394227569   -1.6126671387   -6.1887767241    1.8891172462   -2.6563850506
    309   -3.9853420311    0.9400891675   -1.6142520151   -6.1888413686    1.8891199026   -2.6564695479
    310   -3.9899987527    0.9407613197   -1.6158403489   -6.1889055959    1.8891225418   -2.6565535000
    311   -3.9946518360    0.9414392163   -1.6174321465   -6.1889694103    1.8891251640   -2.6566369123
    312   -3.9993011972    0.9421228154   -1.6190273301   -6.1890328156    1.8891277694   -2.6567197899
    313   -4.0039469200    0.9428121243   -1.6206259169   -6.1890958157    1.8891303582   -2.6568021379
    314   -4.0085888820    0.9435071151   -1.6222277982   -6.1891584146    1.8891329305   -2.6568839614
    315   -4.0132270823    0.9442077456   -1.6238329442   -6.1892206160    1.8891354865   -2.6569652654
    316   -4.0178614971    0.9449140094   -1.6254413292   -6.1892824237    1.8891380263   -2.6570460548
    317   -4.0224920942    0.9456258867   -1.6270528847   -6.1893438415    1.8891405500   -2.6571263345
    318   -4.0271188701    0.9463433571   -1.6286675944   -6.1894048730    1.8891430579   -2.6572061093
    319   -4.0317417792    0.9470663980   -1.6302854000   -6.1894655219    1.8891455501   -2.6572853839
    320   -4.0363608087    0.9477949895   -1.6319062677   -6.1895257917    1.8891480267   -2.6573641631
    321   -4.0409759254    0.9485291078   -1.6335301457   -6.1895856860    1.8891504878   -2.6574424514
    322   -4.0455871259    0.9492687353   -1.6351570118   -6.1896452082    1.8891529337   -2.6575202535
    323   -4.0501943541    0.9500138422   -1.6367868034   -6.1897043619    1.8891553645   -2.6575975738
    324   -4.0547976311    0.9507644190   -1.6384194988   -6.1897631505    1.8891577802   -2.6576744168
    325   -4.0593968785    0.9515204263   -1.6400550312   -6.1898215773    1.8891601810   -2.6577507870
    326   -4.0639921108    0.9522818552   -1.6416933871   -6.1898796457    1.8891625672   -2.6578266886
    327   -4.0685832902    0.9530486757   -1.6433345091   -6.1899373589    1.8891649387   -2.6579021260
    328   -4.0731704019    0.9538208714   -1.6449783651   -6.1899947201    1.8891672958   -2.6579771034
    329   -4.0777534191    0.9545984109   -1.6466249150   -6.1900517327    1.8891696385   -2.6580516250
    330   -4.0823322886    0.9553812690   -1.6482740948   -6.1901083998    1.8891719671   -2.6581256950
    331   -4.0869070451    0.9561694334   -1.6499259057   -6.1901647244    1.8891742815   -2.6581993174
    332   -4.0914776133    0.9569628679   -1.6515802731   -6.1902207098    1.8891765821   -2.6582724963
    333   -4.0960439983    0.9577615557   -1.6532371771   -6.1902763589    1.8891788688   -2.6583452357
    334   -4.1006061745    0.9585654735   -1.6548965780   -6.1903316747    1.8891811418   -2.6584175396
    335   -4.1051641197    0.9593745937   -1.6565584340   -6.1903866603    1.8891834013   -2.6584894118
    336   -4.1097178032    0.9601888907   -1.6582227015   -6.1904413187    1.8891856473   -2.6585608561
    337   -4.1142671942    0.9610083395   -1.6598893371   -6.1904956526    1.8891878800   -2.6586318765
    338   -4.1188122854    0.9618329165   -1.6615583141   -6.1905496651    1.8891900994   -2.6587024766
    339   -4.1233530470    0.9626625933   -1.6632295901   -6.1906033589    1.8891923058   -2.6587726602
    340   -4.1278894596    0.9634973534   -1.6649031212   -6.1906567368    1.8891944992   -2.6588424309
    341   -4.1324215095    0.9643371662   -1.6665788841   -6.1907098017    1.8891966797   -2.6589117925
    342   -4.1369491708    0.9651820046   -1.6682568345   -6.1907625562    1.8891988475   -2.6589807484
    343   -4.1414724178    0.9660318492   -1.6699369359   -6.1908150032    1.8892010026   -2.6590493023
    344   -4.1459912159    0.9668866586   -1.6716191371   -6.1908671452    1.8892031452   -2.6591174575
    345   -4.1505055663    0.9677464237   -1.6733034180   -6.1909189849    1.8892052754   -2.6591852177
    346   -4.1550154220    0.9686111117   -1.6749897339   -6.1909705250    1.8892073933   -2.6592525862
    347   -4.1595207890    0.9694806965   -1.6766780525   -6.1910217681    1.8892094990   -2.6593195664
    348   -4.1640216342    0.9703551522   -1.6783683395   -6.1910727166    1.8892115925   -2.6593861617
    349   -4.1685179236    0.9712344510   -1.6800605455   -6.1911233732    1.8892136741   -2.6594523753
    350   -4.1730096606    0.9721185727   -1.6817546518   -6.1911737403    1.8892157438   -2.6595182106
    351   -4.1774968140    0.9730074844   -1.6834506186   -6.1912238204    1.8892178016   -2.6595836707
    352   -4.1819793503    0.9739011568   -1.6851483950   -6.1912736160    1.8892198478   -2.6596487589
    353   -4.1864572686    0.9747995698   -1.6868479663   -6.1913231294    1.8892218824   -2.6597134783
    354   -4.1909305374    0.9757026936   -1.6885492879   -6.1913723631    1.8892239055   -2.6597778321
    355   -4.1953991342    0.9766104998   -1.6902523203   -6.1914213194    1.8892259172   -2.6598418233
    356   -4.1998630452    0.9775229638   -1.6919570368   -6.1914700007    1.8892279176   -2.6599054550
    357   -4.2043222404    0.9784400549   -1.6936633941   -6.1915184093    1.8892299068   -2.6599687303
    358   -4.2087767179    0.9793617522   -1.6953713688   -6.1915665474    1.8892318849   -2.6600316520
    359   -4.2132264381    0.9802880221   -1.6970809205   -6.1916144174    1.8892338519   -2.6600942233
    360   -4.2176713911    0.9812188401   -1.6987920137   -6.1916620214    1.8892358081   -2.6601564468
    361   -4.2221115585    0.9821541800   -1.7005046224   -6.1917093616    1.8892377534   -2.6602183257
    362   -4.2265469213    0.9830940105   -1.7022187063   -6.1917564404    1.8892396879   -2.6602798627
    363   -4.2309774508    0.9840383045   -1.7039342338   -6.1918032597    1.8892416118   -2.6603410606
    364   -4.2354031354    0.9849870359   -1.7056511650   -6.1918498218    1.8892435251   -2.6604019223
    365   -4.2398239509    0.9859401766   -1.7073694754   -6.1918961287    1.8892454280   -2.6604624505
    366   -4.2442398797    0.9868976981   -1.7090891255   -6.1919421826    1.8892473204   -2.6605226480
    367   -4.2486509050    0.9878595759   -1.7108100936   -6.1919879856    1.8892492025   -2.6605825174
    368   -4.2530570087    0.9888257777   -1.7125323378   -6.1920335396    1.8892510744   -2.6606420614
    369   -4.2574581676    0.9897962797   -1.7142558297   -6.1920788467    1.8892529362   -2.6607012827
    370   -4.2618543675    0.9907710488   -1.7159805332   -6.1921239089    1.8892547878   -2.6607601839
    371   -4.2662455852    0.9917500583   -1.7177064180   -6.1921687281    1.8892566295   -2.6608187675
    372   -4.2706317890    0.9927332786   -1.7194334467   -6.1922133065    1.8892584613   -2.6608770362
    373   -4.2750130140    0.9937206945   -1.7211616147   -6.1922576457    1.8892602833   -2.6609349925
    374   -4.2793891929    0.9947122647   -1.7228908650   -6.1923017479    1.8892620955   -2.6609926388
    375   -4.2837603153    0.9957079615   -1.7246211695   -6.1923456149    1.8892638981   -2.6610499777
    376   -4.2881263642    0.9967077586   -1.7263524950   -6.1923892485    1.8892656911   -2.6611070115
    377   -4.2924873285    0.9977116286   -1.7280848183   -6.1924326507    1.8892674746   -2.6611637429
    378   -4.2968431783    0.9987195423   -1.7298181039   -6.1924758232    1.8892692486   -2.6612201740
    379   -4.3011939224    0.9997314755   -1.7315523314   -6.1925187678    1.8892710133   -2.6612763074
    380   -4.3055395083    1.0007473916   -1.7332874544   -6.1925614865    1.8892727687   -2.6613321453
    381   -4.3098799531    1.0017672724   -1.7350234577   -6.1926039809    1.8892745148   -2.6613876901
    382   -4.3142152270    1.0027910863   -1.7367603108   -6.1926462529    1.8892762519   -2.6614429441
    383   -4.3185452695    1.0038187865   -1.7384979502   -6.1926883040    1.8892779798   -2.6614979095
    384   -4.3228701471    1.0048503793   -1.7402364056   -6.1927301362    1.8892796988   -2.6615525887
    385   -4.3271897893    1.0058858151   -1.7419756095   -6.1927717511    1.8892814088   -2.6616069839
    386   -4.3315041667    1.0069250578   -1.7437155236   -6.1928131503    1.8892831100   -2.6616610972
    387   -4.3358133153    1.0079681015   -1.7454561567   -6.1928543356    1.8892848023   -2.6617149308
    388   -4.3401171640    1.0090148967   -1.7471974415   -6.1928953086    1.8892864860   -2.6617684870
    389   -4.3444157569    1.0100654384   -1.7489393912   -6.1929360710    1.8892881610   -2.6618217678
    390   -4.3487089979    1.0111196655   -1.7506819214   -6.1929766243    1.8892898274   -2.6618747753
    391   -4.3529969328    1.0121775759   -1.7524250492   -6.1930169701    1.8892914853   -2.6619275117
    392   -4.3572795327    1.0132391368   -1.7541687329   -6.1930571102    1.8892931347   -2.6619799791
    393   -4.3615567729    1.0143043177   -1.7559129437   -6.1930970459    1.8892947757   -2.6620321795
    394   -4.3658286651    1.0153730894   -1.7576576691   -6.1931367789    1.8892964084   -2.6620841148
    395   -4.3700951300    1.0164454096   -1.7594028381   -6.1931763108    1.8892980329   -2.6621357872
    396   -4.3743562230    1.0175212795   -1.7611484725   -6.1932156430    1.8892996491   -2.6621871987
    397   -4.3786118709    1.0186006406   -1.7628945076   -6.1932547770    1.8893012572   -2.6622383511
    398   -4.3828621142    1.0196834927   -1.7646409512   -6.1932937144    1.8893028572   -2.6622892465
    399   -4.3871069028    1.0207697902   -1.7663877556   -6.1933324566    1.8893044492   -2.6623398868
    400   -4.3913462404    1.0218595112   -1.7681349023   -6.1933710051    1.8893060332   -2.6623902739
    401   -4.3955800934    1.0229526230   -1.7698823565   -6.1934093614    1.8893076093   -2.6624404096
    402   -4.3998084415    1.0240490951   -1.7716300860   -6.1934475268    1.8893091776   -2.6624902960
    403   -4.4040312846    1.0251489006   -1.7733780748   -6.1934855028    1.8893107381   -2.6625399347
    404   -4.4082486309    1.0262520252   -1.7751262951   -6.1935232908    1.8893122909   -2.6625893278
    405   -4.4124603970    1.0273584124   -1.7768747267   -6.1935608922    1.8893138360   -2.6626384769
    406   -4.4166666423    1.0284680613   -1.7786233395   -6.1935983084    1.8893153735   -2.6626873839
    407   -4.4208673348    1.0295809384   -1.7803721173   -6.1936355407    1.8893169034   -2.6627360505
    408   -4.4250624373    1.0306970025   -1.7821210138   -6.1936725905    1.8893184258   -2.6627844786
    409   -4.4292519470    1.0318162363   -1.7838700164   -6.1937094591    1.8893199408   -2.6628326699
    410   -4.4334358495    1.0329386068   -1.7856190958   -6.1937461479    1.8893214485   -2.6628806261
    411   -4.4376141498    1.0340640987   -1.7873682435   -6.1937826582    1.8893229487   -2.6629283490
    412   -4.4417867947    1.0351926629   -1.7891174042   -6.1938189912    1.8893244417   -2.6629758402
    413   -4.4459538046    1.0363242872   -1.7908665773   -6.1938551482    1.8893259275   -2.6630231014
    414   -4.4501151466    1.0374589355   -1.7926157278   -6.1938911306    1.8893274060   -2.6630701343
    415   -4.4542708443    1.0385965979   -1.7943648525   -6.1939269396    1.8893288775   -2.6631169405
    416   -4.4584208420    1.0397372242   -1.7961139015   -6.1939625764    1.8893303419   -2.6631635217
    417   -4.4625651331    1.0408807919   -1.7978628537   -6.1939980423    1.8893317992   -2.6632098795
    418   -4.4667037288    1.0420272836   -1.7996117006   -6.1940333386    1.8893332496   -2.6632560154
    419   -4.4708365826    1.0431766552   -1.8013604040   -6.1940684663    1.8893346931   -2.6633019312
    420   -4.4749637226    1.0443289002   -1.8031089487   -6.1941034267    1.8893361297   -2.6633476283
    421   -4.4790850994    1.0454839709   -1.8048573051   -6.1941382211    1.8893375594   -2.6633931083
    422   -4.4832007397    1.0466418614   -1.8066054678   -6.1941728506    1.8893389824   -2.6634383728
    423   -4.4873105776    1.0478025178   -1.8083533836   -6.1942073163    1.8893403987   -2.6634834233
    424   -4.4914146373    1.0489659287   -1.8101010486   -6.1942416195    1.8893418082   -2.6635282612
    425   -4.4955129084    1.0501320680   -1.8118484436   -6.1942757612    1.8893432112   -2.6635728882
    426   -4.4996053759    1.0513009092   -1.8135955418   -6.1943097427    1.8893446075   -2.6636173056
    427   -4.5036920175    1.0524724174   -1.8153423173   -6.1943435650    1.8893459974   -2.6636615150
