------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 03:59PM on December 28, 2018
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.97324441059e+24 34216026218.0 26623910437.0 9.81863493384
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.20875185901 6.15234155125 1.88993805916 -0.252810390866 -2.6824947171 8.04177729086
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
    194   -3.4324827775    0.9024499800   -1.4674298724   -6.1770387582    1.8886349128   -2.6410422568
    195   -3.4373786935    0.9024709934   -1.4682829286   -6.1772013895    1.8886415956   -2.6412548336
    196   -3.4422739830    0.9024957465   -1.4691455094   -6.1773623613    1.8886482102   -2.6414652411
    197   -3.4471686501    0.9025243121   -1.4700175634   -6.1775216989    1.8886547577   -2.6416735126
    198   -3.4520626624    0.9025567855   -1.4708990375   -6.1776794269    1.8886612390   -2.6418796803
    199   -3.4569559921    0.9025932361   -1.4717898677   -6.1778355698    1.8886676552   -2.6420837759
    200   -3.4618486239    0.9026337487   -1.4726900015   -6.1779901513    1.8886740072   -2.6422858306
    201   -3.4667405516    0.9026783861   -1.4735994026   -6.1781431946    1.8886802960   -2.6424858749
    202   -3.4716317402    0.9027272261   -1.4745180022   -6.1782947226    1.8886865226   -2.6426839384
    203   -3.4765221898    0.9027803486   -1.4754457506   -6.1784447578    1.8886926878   -2.6428800506
    204   -3.4814118442    0.9028378122   -1.4763825679   -6.1785933220    1.8886987925   -2.6430742402
    205   -3.4863007191    0.9028996828   -1.4773284444   -6.1787404368    1.8887048377   -2.6432665352
    206   -3.4911887704    0.9029660346   -1.4782832976   -6.1788861233    1.8887108243   -2.6434569633
    207   -3.4960759932    0.9030369363   -1.4792470825   -6.1790304022    1.8887167529   -2.6436455514
    208   -3.5009623428    0.9031124383   -1.4802197313   -6.1791732939    1.8887226246   -2.6438323263
    209   -3.5058478107    0.9031926044   -1.4812011954   -6.1793148181    1.8887284401   -2.6440173138
    210   -3.5107323789    0.9032775057   -1.4821914354   -6.1794549945    1.8887342002   -2.6442005395
    211   -3.5156160074    0.9033671862   -1.4831903565   -6.1795938422    1.8887399056   -2.6443820285
    212   -3.5204986884    0.9034617089   -1.4841979306   -6.1797313800    1.8887455573   -2.6445618053
    213   -3.5253803803    0.9035611316   -1.4852140741   -6.1798676264    1.8887511559   -2.6447398941
    214   -3.5302610673    0.9036654974   -1.4862387579   -6.1800025994    1.8887567022   -2.6449163185
    215   -3.5351407302    0.9037748737   -1.4872719151   -6.1801363169    1.8887621969   -2.6450911018
    216   -3.5400193493    0.9038892988   -1.4883134954   -6.1802687963    1.8887676407   -2.6452642667
    217   -3.5448968778    0.9040088342   -1.4893634283   -6.1804000546    1.8887730343   -2.6454358356
    218   -3.5497733017    0.9041335210   -1.4904216611   -6.1805301088    1.8887783785   -2.6456058304
    219   -3.5546486086    0.9042634024   -1.4914881485   -6.1806589752    1.8887836738   -2.6457742728
    220   -3.5595227572    0.9043985292   -1.4925628238   -6.1807866701    1.8887889210   -2.6459411840
    221   -3.5643957232    0.9045389450   -1.4936456284   -6.1809132095    1.8887941207   -2.6461065846
    222   -3.5692674833    0.9046846936   -1.4947365059   -6.1810386088    1.8887992736   -2.6462704951
    223   -3.5741380086    0.9048358137   -1.4958353982   -6.1811628834    1.8888043803   -2.6464329355
    224   -3.5790072691    0.9049923448   -1.4969422484   -6.1812860485    1.8888094413   -2.6465939256
    225   -3.5838752680    0.9051543276   -1.4980570173   -6.1814081188    1.8888144574   -2.6467534847
    226   -3.5887419123    0.9053218072   -1.4991795983   -6.1815291088    1.8888194291   -2.6469116317
    227   -3.5936072504    0.9054948086   -1.5003099933   -6.1816490328    1.8888243570   -2.6470683854
    228   -3.5984712202    0.9056733793   -1.5014481183   -6.1817679048    1.8888292417   -2.6472237641
    229   -3.6033337633    0.9058575533   -1.5025938964   -6.1818857387    1.8888340837   -2.6473777857
    230   -3.6081949491    0.9060473493   -1.5037473235   -6.1820025479    1.8888388835   -2.6475304680
    231   -3.6130546660    0.9062428107   -1.5049082957   -6.1821183458    1.8888436419   -2.6476818284
    232   -3.6179129139    0.9064439627   -1.5060767805   -6.1822331454    1.8888483592   -2.6478318839
    233   -3.6227696561    0.9066508364   -1.5072527103   -6.1823469596    1.8888530360   -2.6479806515
    234   -3.6276248529    0.9068634721   -1.5084360106   -6.1824598011    1.8888576729   -2.6481281475
    235   -3.6324784852    0.9070818801   -1.5096266438   -6.1825716822    1.8888622703   -2.6482743882
